DBN,School Name,Rigorous Instruction Rating,Rigorous Instruction - Element Score,How Interesting And Challenging Is The Curriculum,How Effective Is The Teaching And Learning,How Well Does The School Assess What Students Are Learning,Rigorous Instruction - Overall Positive Responses,Rigorous Instruction - City Positive Responses,Rigorous Instruction - Borough Positive Responses,Collaborative Teachers Rating,Collaborative Teachers - Element Score,Quality Review - How well do teachers work with each other,Collaborative Teachers - Overall Positive Responses,Collaborative Teachers - City Positive Responses,Collaborative Teachers - Borough Positive Responses,Supportive Environment Rating,Supportive Environment - Element Score,Quality Review - How clearly are high expectations communicated to students and staff,Supportive Environment - Overall Positive Responses,Supportive Environment - City Positive Responses,Supportive Environment - Borough Positive Responses,Metric Rating - Least Restrictive Environment,% of Enrollment - Least Restrictive Environment,Population % of Range - Least Restrictive Environment,Metric Value - Least Restrictive Environment,Metric Score - Least Restrictive Environment,Metric Value - Percentage of Students with 90%+ Attendance,Metric Score - Percentage of Students with 90%+ Attendance,Effective School Leadership Rating,Effective School Leadership - Element Score,Effective School Leadership - Overall Positive Responses,Effective School Leadership - City Positive Responses,Effective School Leadership - Borough Positive Responses,Strong Family-Community Ties Rating,Strong Family-Community Ties - Element Score,Strong Family-Community Ties Overall - Positive Responses,Strong Family-Community Ties - City Positive Responses,Strong Family-Community Ties - Borough Positive Responses,Trust Rating,Trust - Element Score,Trust - Overall Positive Responses,Trust - City Positive Responses,Trust - Borough Positive Responses,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,Quality Review - Principal at Time of Review,Quality Review - Dates Of Review
27Q262,Channel View School for Research,Exceeding Target,4.28,Well Developed,Proficient,Well Developed,81%,79%,80%,Exceeding Target,4.41,Well Developed,84%,80%,81%,Meeting Target,3.66,Well Developed,72%,70%,73%,Approaching Target,0.12,0.34,0.41,2.08,63.7%,1.93,Meeting Target,3.57,85%,83%,83%,Meeting Target,3.58,89%,90%,87%,Meeting Target,3.62,88%,87%,86%,95%,97%,68%,Denise Harper-Richardson,"May 15, 2015"
27Q302,"Queens High School for Information, Research, and",Exceeding Target,4.06,Proficient,Proficient,Well Developed,86%,79%,80%,Exceeding Target,4.78,Well Developed,96%,80%,81%,Exceeding Target,4.11,Well Developed,80%,72%,73%,Exceeding Target,0.22,0.66,0.92,4.03,57.5%,3.22,Exceeding Target,4.29,98%,84%,83%,Exceeding Target,4.12,90%,87%,87%,Exceeding Target,4.46,96%,87%,86%,68%,97%,22%,Carl Manalo,March 2017
27Q308,Robert H. Goddard High School of Communication Art,Exceeding Target,4.37,Well Developed,Well Developed,Proficient,84%,79%,80%,Exceeding Target,4.37,Well Developed,86%,80%,81%,Exceeding Target,4.30,Well Developed,78%,72%,73%,Exceeding Target,0.19,0.57,0.68,4.07,81.1%,4.13,Exceeding Target,4.54,88%,84%,83%,Meeting Target,3.71,87%,87%,87%,Meeting Target,3.78,90%,87%,86%,91%,95%,55%,,April-19
27Q309,Academy of Medical Technology: A College Board Sch,Meeting Target,3.05,Proficient,Developing,Proficient,78%,79%,80%,Meeting Target,3.50,Proficient,81%,80%,81%,Meeting Target,3.63,Well Developed,72%,70%,73%,Not Meeting Target,0.15,0.43,0.44,1.67,55.6%,2.80,Meeting Target,3.61,80%,83%,83%,Meeting Target,3.51,89%,90%,87%,Meeting Target,3.54,87%,87%,86%,48%,92%,10%,William Johnson,December 2017
27Q314,Epic High School - South,Meeting Target,3.05,Proficient,Developing,Proficient,77%,79%,80%,Meeting Target,3.75,Proficient,88%,80%,81%,Meeting Target,3.11,Proficient,73%,72%,73%,Approaching Target,0.20,0.59,0.77,2.58,48.4%,1.57,Meeting Target,3.66,91%,84%,83%,Meeting Target,3.58,88%,87%,87%,Exceeding Target,4.28,94%,87%,86%,60%,96%,22%,SUBHAS MOHAN,May 2018
27Q323,Scholars' Academy,Exceeding Target,4.70,Well Developed,Well Developed,Well Developed,84%,79%,80%,Exceeding Target,4.17,Well Developed,80%,80%,81%,Exceeding Target,4.10,Well Developed,78%,70%,73%,Not Meeting Target,0.14,0.40,0.76,1.72,82.7%,2.67,Meeting Target,3.62,85%,83%,83%,Exceeding Target,4.15,93%,90%,87%,Meeting Target,3.47,85%,87%,86%,89%,100%,53%,Brian Oconnell,7-Jan-15
27Q324,Rockaway Park High School for Environmental Sustai,Meeting Target,3.15,Proficient,Developing,Proficient,79%,79%,80%,Meeting Target,3.68,Proficient,80%,80%,81%,Approaching Target,2.97,Proficient,68%,72%,73%,Approaching Target,0.28,0.87,0.81,2.50,37.3%,1.83,Meeting Target,3.56,86%,84%,83%,Approaching Target,2.51,80%,87%,87%,Meeting Target,3.53,89%,87%,86%,83%,76%,40%,JENNIFER CONNOLLY,November 2017
27Q334,Epic High School - North,Meeting Target,3.22,Proficient,Proficient,Proficient,71%,79%,80%,Approaching Target,2.54,Proficient,61%,80%,81%,Meeting Target,3.25,Well Developed,66%,72%,73%,Exceeding Target,0.15,0.43,0.90,4.67,54.8%,1.83,Meeting Target,3.49,76%,84%,83%,Exceeding Target,4.26,92%,87%,87%,Meeting Target,3.08,82%,87%,86%,80%,100%,31%,David Weinberg,April 2018
27Q351,Rockaway Collegiate High School,Meeting Target,3.06,Proficient,Developing,Proficient,78%,79%,80%,Approaching Target,2.80,Proficient,64%,80%,81%,Approaching Target,2.13,Proficient,59%,72%,73%,Not Meeting Target,0.29,0.89,0.44,1.00,41.7%,2.09,Meeting Target,3.29,79%,84%,83%,Approaching Target,2.16,79%,87%,87%,Approaching Target,2.61,78%,87%,86%,79%,85%,44%,Frances Desanctis,March 2018
27Q400,August Martin High School,Meeting Target,3.92,Proficient,Proficient,Well Developed,82%,79%,80%,Exceeding Target,4.50,Well Developed,90%,80%,81%,Exceeding Target,4.31,Well Developed,72%,72%,73%,Exceeding Target,0.22,0.65,1.21,4.63,62.2%,4.56,Exceeding Target,4.44,95%,84%,83%,Exceeding Target,4.28,92%,87%,87%,Meeting Target,3.95,90%,87%,86%,93%,100%,55%,RORY PARNELL,April 2018
27Q475,Richmond Hill High School,Meeting Target,3.83,Well Developed,Proficient,Proficient,77%,79%,80%,Exceeding Target,4.17,Well Developed,80%,80%,81%,Meeting Target,3.87,Well Developed,69%,72%,73%,Approaching Target,0.14,0.41,0.76,2.58,64.8%,3.87,Exceeding Target,4.10,84%,84%,83%,Meeting Target,3.72,88%,87%,87%,Meeting Target,3.44,86%,87%,86%,65%,90%,15%,Neil Ganesh,March 2018
27Q480,John Adams High School,Meeting Target,3.86,Well Developed,Proficient,Proficient,79%,79%,80%,Exceeding Target,4.10,Well Developed,78%,80%,81%,Meeting Target,3.34,Proficient,65%,72%,73%,Approaching Target,0.13,0.39,0.67,2.42,61.7%,3.41,Meeting Target,3.75,84%,84%,83%,Meeting Target,3.24,85%,87%,87%,Approaching Target,2.88,83%,87%,86%,79%,91%,32%,Daniel Scanlon,May 2017
27Q650,"High School for Construction Trades, Engineering a",Exceeding Target,4.36,Well Developed,Well Developed,Proficient,84%,79%,80%,Exceeding Target,4.55,Well Developed,90%,80%,81%,Exceeding Target,4.12,Well Developed,77%,72%,73%,Exceeding Target,0.17,0.52,0.78,4.60,83.2%,3.52,Meeting Target,3.74,90%,84%,83%,Exceeding Target,4.00,90%,87%,87%,Meeting Target,3.74,90%,87%,86%,81%,61%,14%,Lakeisha Gordon,"March 13, 2015"
28Q157,J.H.S. 157 Stephen A. Halsey,Exceeding Target,4.73,Well Developed,Well Developed,Well Developed,86%,N/A,80%,Exceeding Target,4.28,Well Developed,85%,N/A,81%,Exceeding Target,4.02,Well Developed,78%,N/A,73%,Not Meeting Target,0.32,0.98,0.25,1.00,73.7%,3.97,Meeting Target,3.72,88%,N/A,83%,Meeting Target,3.09,89%,N/A,87%,Meeting Target,3.81,90%,N/A,86%,94%,82%,59%,Vincent Suraci,"January 6, 2015"
28Q167,Metropolitan Expeditionary Learning School,Meeting Target,3.90,Well Developed,Proficient,Proficient,80%,79%,80%,Exceeding Target,4.34,Well Developed,84%,80%,81%,Exceeding Target,4.24,Well Developed,73%,70%,73%,Exceeding Target,0.21,0.62,0.72,4.13,81.3%,4.16,Meeting Target,3.93,88%,83%,83%,Meeting Target,3.94,92%,90%,87%,Meeting Target,3.83,89%,87%,86%,86%,88%,53%,Damon McCord,11-Feb-15
28Q284,York Early College Academy,Exceeding Target,4.01,Well Developed,Proficient,Proficient,86%,79%,80%,Meeting Target,3.70,Proficient,86%,80%,81%,Exceeding Target,4.05,Well Developed,76%,70%,73%,Meeting Target,0.11,0.30,0.44,3.13,82.7%,3.15,Meeting Target,3.86,87%,83%,83%,Exceeding Target,4.08,93%,90%,87%,Exceeding Target,4.10,91%,87%,86%,95%,91%,60%,Deborah Burnett,"January 21, 2015"
28Q310,Queens Collegiate: A College Board School,Meeting Target,3.44,Proficient,Proficient,Proficient,78%,79%,80%,Meeting Target,3.41,Proficient,79%,80%,81%,Approaching Target,2.90,Proficient,65%,70%,73%,Exceeding Target,0.16,0.46,0.75,4.07,60.0%,2.20,Meeting Target,3.39,80%,83%,83%,Approaching Target,2.51,85%,90%,87%,Meeting Target,3.28,85%,87%,86%,86%,88%,18%,JAIME DUBEI,April 2018
28Q325,Hillside Arts & Letters Academy,Exceeding Target,4.52,Well Developed,Well Developed,Proficient,89%,79%,80%,Exceeding Target,4.82,Well Developed,96%,80%,81%,Exceeding Target,4.01,Well Developed,80%,72%,73%,Meeting Target,0.19,0.57,0.79,3.50,60.2%,3.06,Exceeding Target,4.79,97%,84%,83%,Meeting Target,3.87,88%,87%,87%,Exceeding Target,4.36,95%,87%,86%,75%,100%,36%,Raquel Nolasco,March 2017
28Q328,High School for Community Leadership,Meeting Target,3.62,Proficient,Proficient,Proficient,83%,79%,80%,Exceeding Target,4.85,Well Developed,97%,80%,81%,,.,Well Developed,71%,72%,73%,Approaching Target,0.14,0.42,0.60,2.83,48.1%,1.44,Exceeding Target,4.52,97%,84%,83%,Exceeding Target,4.34,92%,87%,87%,Exceeding Target,4.07,93%,87%,86%,17%,90%,8%,Carlos Borrero,"February 12, 2015"
28Q350,Jamaica Gateway to the Sciences,Exceeding Target,4.11,Well Developed,Proficient,Proficient,88%,79%,80%,Exceeding Target,4.48,Well Developed,88%,80%,81%,Meeting Target,3.86,Well Developed,77%,72%,73%,Meeting Target,0.14,0.42,0.61,3.50,66.5%,2.83,Exceeding Target,4.07,93%,84%,83%,Meeting Target,3.94,89%,87%,87%,Meeting Target,3.82,90%,87%,86%,89%,94%,24%,Caren Birchwood Taylo,29-Mar-16
28Q440,Forest Hills High School,Meeting Target,3.37,Proficient,Proficient,Proficient,76%,79%,80%,Meeting Target,3.22,Well Developed,66%,80%,81%,Meeting Target,3.05,Well Developed,61%,72%,73%,Approaching Target,0.16,0.46,0.68,2.83,71.3%,2.32,Approaching Target,2.86,53%,84%,83%,Approaching Target,2.02,77%,87%,87%,Not Meeting Target,1.83,66%,87%,86%,58%,62%,17%,BENJAMIN SHERMAN,May 2017
28Q505,Hillcrest High School,Exceeding Target,4.29,Well Developed,Well Developed,Proficient,81%,79%,80%,Meeting Target,3.53,Proficient,83%,80%,81%,Meeting Target,3.63,Well Developed,68%,72%,73%,Approaching Target,0.12,0.33,0.73,2.58,66.1%,3.24,Meeting Target,3.31,83%,84%,83%,Approaching Target,2.52,81%,87%,87%,Meeting Target,3.33,87%,87%,86%,66%,66%,19%,David Morrison,14-Apr-16
28Q620,Thomas A. Edison Career and Technical Education Hi,Meeting Target,3.52,Proficient,Proficient,Proficient,81%,79%,80%,Meeting Target,3.37,Proficient,79%,80%,81%,Exceeding Target,4.00,Well Developed,74%,72%,73%,Approaching Target,0.15,0.42,0.76,2.25,85.9%,3.90,Exceeding Target,4.29,80%,84%,83%,Approaching Target,2.52,81%,87%,87%,Meeting Target,3.03,83%,87%,86%,85%,96%,65%,Moses Ojeda,May 2017
28Q680,Queens Gateway to Health Sciences Secondary School,Meeting Target,3.50,Well Developed,Proficient,Proficient,71%,79%,80%,Approaching Target,2.60,Proficient,65%,80%,81%,Meeting Target,3.34,Well Developed,61%,70%,73%,Approaching Target,0.14,0.39,0.71,2.75,81.6%,2.95,Approaching Target,2.88,63%,83%,83%,Approaching Target,2.02,78%,90%,87%,Not Meeting Target,1.39,67%,87%,86%,97%,95%,25%,Judy Henry,December 2017
28Q686,Queens Metropolitan High School,Meeting Target,3.53,Proficient,Proficient,Proficient,81%,79%,80%,Meeting Target,3.59,Proficient,84%,80%,81%,Meeting Target,3.91,Well Developed,75%,72%,73%,Meeting Target,0.18,0.54,0.59,3.13,77.2%,3.27,Meeting Target,3.54,87%,84%,83%,Meeting Target,3.60,86%,87%,87%,Meeting Target,3.51,88%,87%,86%,91%,94%,30%,SAIDA RODRIGUEZTABONE,May 2018
28Q687,Queens High School for the Sciences at York Colleg,Meeting Target,3.43,Proficient,Proficient,Proficient,80%,79%,80%,Approaching Target,2.93,Proficient,69%,80%,81%,Exceeding Target,4.27,Well Developed,77%,72%,73%,,0.01,0.00,N<5,.,92.2%,4.12,Approaching Target,2.98,59%,84%,83%,Meeting Target,3.46,85%,87%,87%,Meeting Target,3.00,76%,87%,86%,95%,89%,23%,Ana De Jesus,February 2018
28Q690,High School for Law Enforcement and Public Safety,Meeting Target,3.30,Proficient,Proficient,Proficient,73%,79%,80%,Meeting Target,3.36,Proficient,81%,80%,81%,Meeting Target,3.40,Proficient,67%,72%,73%,Not Meeting Target,0.21,0.64,0.61,1.33,62.8%,3.65,Meeting Target,3.50,84%,84%,83%,Meeting Target,3.47,87%,87%,87%,Meeting Target,3.27,85%,87%,86%,84%,100%,13%,Laura Van Deren,March 2017
28Q896,"Young Women's Leadership School, Queens",Meeting Target,3.93,Well Developed,Proficient,Proficient,81%,79%,80%,Exceeding Target,4.33,Well Developed,82%,80%,81%,Meeting Target,3.99,Well Developed,74%,70%,73%,Not Meeting Target,0.15,0.43,0.57,1.67,73.6%,2.85,Exceeding Target,4.36,83%,83%,83%,Meeting Target,3.38,88%,90%,87%,Meeting Target,3.85,89%,87%,86%,71%,92%,44%,,October-18
29Q243,Institute for Health Professions at Cambria Height,Meeting Target,3.59,Proficient,Proficient,Proficient,83%,79%,80%,Meeting Target,3.96,Proficient,93%,80%,81%,Meeting Target,3.22,Proficient,77%,72%,73%,Meeting Target,0.09,0.25,0.68,3.38,56.1%,2.16,Meeting Target,3.88,96%,84%,83%,Meeting Target,3.61,88%,87%,87%,Exceeding Target,4.39,95%,87%,86%,81%,88%,31%,Gareth Robinson,January 2017
29Q248,Queens Preparatory Academy,Approaching Target,2.98,Proficient,Proficient,Proficient,58%,79%,80%,Approaching Target,2.56,Proficient,55%,80%,81%,Meeting Target,3.02,Well Developed,60%,72%,73%,Meeting Target,0.15,0.42,0.73,3.00,54.2%,2.96,Approaching Target,2.74,47%,84%,83%,Meeting Target,3.54,86%,87%,87%,Approaching Target,2.10,68%,87%,86%,66%,73%,28%,TASHON HAYWOOD,March 2017
29Q259,Pathways College Preparatory School: A College Boa,Meeting Target,3.86,Proficient,Proficient,Well Developed,80%,79%,80%,Exceeding Target,4.54,Well Developed,89%,80%,81%,Meeting Target,3.94,Well Developed,66%,70%,73%,Approaching Target,0.13,0.36,0.58,2.83,76.2%,4.12,Exceeding Target,4.55,90%,83%,83%,Meeting Target,3.87,91%,90%,87%,Meeting Target,3.66,90%,87%,86%,76%,97%,27%,,March-19
29Q265,Excelsior Preparatory High School,Meeting Target,3.44,Proficient,Proficient,Proficient,73%,79%,80%,Exceeding Target,4.58,Well Developed,91%,80%,81%,Meeting Target,3.30,Well Developed,69%,72%,73%,Not Meeting Target,0.16,0.46,0.62,1.22,61.5%,2.95,Exceeding Target,4.01,92%,84%,83%,Exceeding Target,4.05,90%,87%,87%,Meeting Target,3.81,90%,87%,86%,81%,90%,13%,,April-19
29Q272,George Washington Carver High School for the Scien,Approaching Target,2.88,Proficient,Developing,Developing,84%,79%,80%,Meeting Target,3.58,Proficient,84%,80%,81%,Meeting Target,3.77,Well Developed,70%,72%,73%,Not Meeting Target,0.17,0.51,0.53,1.44,62.6%,3.56,Meeting Target,3.37,83%,84%,83%,Meeting Target,3.64,86%,87%,87%,Meeting Target,3.32,87%,87%,86%,74%,77%,23%,JANICE SUTTON,May 2018
29Q283,Preparatory Academy for Writers: A College Board S,Meeting Target,3.64,Proficient,Proficient,Proficient,83%,79%,80%,Meeting Target,3.05,Proficient,71%,80%,81%,Exceeding Target,4.10,Well Developed,80%,70%,73%,Meeting Target,0.17,0.49,0.52,3.25,58.4%,1.91,Meeting Target,3.11,76%,83%,83%,Approaching Target,2.31,82%,90%,87%,Approaching Target,2.46,81%,87%,86%,69%,94%,11%,,November-18
29Q313,Benjamin Franklin High School for Finance & Inform,Meeting Target,3.00,Developing,Developing,Developing,85%,79%,80%,Meeting Target,3.48,Proficient,82%,80%,81%,Meeting Target,3.13,Proficient,77%,72%,73%,Approaching Target,0.16,0.48,0.78,2.75,52.4%,1.99,Meeting Target,3.19,85%,84%,83%,Meeting Target,3.22,85%,87%,87%,Meeting Target,3.67,87%,87%,86%,70%,93%,56%,CARLA THEODOROU,November 2016
29Q326,Cambria Heights Academy,Meeting Target,3.42,Proficient,Proficient,Proficient,76%,79%,80%,Meeting Target,3.82,Well Developed,80%,80%,81%,Meeting Target,3.82,Well Developed,72%,72%,73%,Exceeding Target,0.15,0.45,1.00,4.30,66.2%,3.08,Meeting Target,3.61,87%,84%,83%,Exceeding Target,4.06,90%,87%,87%,Meeting Target,3.84,89%,87%,86%,91%,100%,53%,Melissa Menake,April 2018
29Q327,Eagle Academy for Young Men III,Meeting Target,3.11,Proficient,Proficient,Proficient,69%,79%,80%,Approaching Target,2.35,Developing,66%,80%,81%,Meeting Target,3.09,Proficient,62%,70%,73%,Exceeding Target,0.23,0.69,0.81,4.00,58.1%,1.79,Meeting Target,3.13,75%,83%,83%,Meeting Target,3.29,89%,90%,87%,Approaching Target,2.47,78%,87%,86%,76%,97%,30%,Cedric Hall,May 2018
29Q492,"Mathematics, Science Research and Technology Magne",Meeting Target,3.74,Well Developed,Proficient,Proficient,76%,79%,80%,Meeting Target,3.51,Proficient,83%,80%,81%,Meeting Target,3.64,Well Developed,70%,72%,73%,Meeting Target,0.10,0.26,0.92,3.13,56.9%,2.81,Meeting Target,3.63,89%,84%,83%,Meeting Target,3.15,84%,87%,87%,Meeting Target,3.36,87%,87%,86%,80%,100%,44%,JOSE CRUZ,May 2017
29Q498,Humanities & Arts Magnet High School,Meeting Target,3.19,Proficient,Proficient,Proficient,69%,79%,80%,Meeting Target,3.00,Proficient,70%,80%,81%,Meeting Target,3.07,Proficient,65%,72%,73%,Approaching Target,0.16,0.48,0.75,2.50,60.2%,3.37,Meeting Target,3.68,79%,84%,83%,Exceeding Target,4.05,92%,87%,87%,Meeting Target,3.21,84%,87%,86%,85%,96%,62%,Kayode Ayetiwa,February 2018
30Q258,Energy Tech High School,Meeting Target,3.69,Proficient,Proficient,Proficient,85%,79%,80%,Exceeding Target,4.58,Well Developed,91%,80%,81%,Meeting Target,3.95,Well Developed,77%,72%,73%,Exceeding Target,0.18,0.52,0.71,4.13,73.9%,3.00,Exceeding Target,4.40,93%,84%,83%,Exceeding Target,4.17,91%,87%,87%,Exceeding Target,4.10,92%,87%,86%,85%,81%,57%,,January-19
30Q286,"Young Women's Leadership School, Astoria",Exceeding Target,4.36,Well Developed,Proficient,Well Developed,84%,79%,80%,Exceeding Target,4.15,Well Developed,81%,80%,81%,Exceeding Target,4.16,Well Developed,80%,70%,73%,Approaching Target,0.13,0.37,0.34,2.75,82.2%,3.95,Meeting Target,3.42,71%,83%,83%,Meeting Target,3.51,89%,90%,87%,Meeting Target,3.44,82%,87%,86%,80%,70%,32%,Allison Persad,January 2017
30Q301,Academy for Careers in Television and Film,Exceeding Target,4.80,Well Developed,Well Developed,Well Developed,85%,79%,80%,Exceeding Target,4.62,Well Developed,92%,80%,81%,Exceeding Target,4.33,Well Developed,81%,72%,73%,Exceeding Target,0.21,0.64,0.60,4.00,80.8%,3.90,Exceeding Target,4.41,96%,84%,83%,Exceeding Target,4.27,92%,87%,87%,Exceeding Target,4.41,95%,87%,86%,97%,100%,56%,Edgar Rodriguez,17-Nov-15
30Q445,William Cullen Bryant High School,Approaching Target,2.42,Proficient,Developing,Developing,70%,79%,80%,Approaching Target,2.78,Proficient,67%,80%,81%,Meeting Target,3.41,Proficient,65%,72%,73%,Exceeding Target,0.14,0.41,0.90,4.00,70.3%,4.19,Approaching Target,2.88,68%,84%,83%,Approaching Target,2.40,81%,87%,87%,Approaching Target,2.36,76%,87%,86%,64%,75%,25%,Namita Dwarka,March 2017
30Q450,Long Island City High School,Meeting Target,3.82,Well Developed,Proficient,Proficient,77%,79%,80%,Exceeding Target,4.22,Well Developed,81%,80%,81%,Meeting Target,3.57,Well Developed,66%,72%,73%,Exceeding Target,0.17,0.49,0.79,4.17,64.8%,3.06,Exceeding Target,4.11,85%,84%,83%,Meeting Target,3.71,87%,87%,87%,Meeting Target,3.48,88%,87%,86%,72%,91%,10%,Vivian Selenikas,March 2018
30Q501,Frank Sinatra School of the Arts High School,Meeting Target,3.93,Well Developed,Proficient,Proficient,83%,79%,80%,Exceeding Target,4.36,Well Developed,84%,80%,81%,Meeting Target,3.74,Well Developed,78%,72%,73%,Meeting Target,0.18,0.55,0.42,3.00,78.9%,2.41,Exceeding Target,4.21,87%,84%,83%,Meeting Target,3.82,88%,87%,87%,Meeting Target,3.88,91%,87%,86%,92%,96%,29%,,April-19
30Q502,Information Technology High School,Approaching Target,2.62,Proficient,Developing,Developing,74%,79%,80%,Meeting Target,3.44,Proficient,80%,80%,81%,Meeting Target,3.34,Proficient,68%,72%,73%,Approaching Target,0.20,0.61,0.57,2.00,69.3%,3.75,Meeting Target,3.48,83%,84%,83%,Meeting Target,3.25,86%,87%,87%,Meeting Target,3.24,85%,87%,86%,76%,87%,19%,Joseph Reed,November 2016
30Q555,Newcomers High School,Exceeding Target,4.63,Well Developed,Well Developed,Well Developed,82%,79%,80%,Exceeding Target,4.35,Well Developed,85%,80%,81%,Exceeding Target,4.61,Well Developed,79%,72%,73%,,0.01,0.00,N<5,.,71.1%,4.99,Meeting Target,3.91,90%,84%,83%,Meeting Target,3.75,87%,87%,87%,Meeting Target,3.86,91%,87%,86%,84%,84%,56%,Orlando Sarmiento,29-May-15
30Q575,Academy of American Studies,Meeting Target,3.62,Proficient,Proficient,Well Developed,73%,79%,80%,Approaching Target,2.75,Proficient,58%,80%,81%,Meeting Target,3.06,Well Developed,63%,72%,73%,Exceeding Target,0.09,0.23,0.62,4.30,78.0%,2.56,Approaching Target,2.87,66%,84%,83%,Approaching Target,2.85,82%,87%,87%,Approaching Target,2.34,76%,87%,86%,89%,65%,28%,William Bassell,March 2018
30Q580,Baccalaureate School for Global Education,Meeting Target,3.74,Proficient,Proficient,Proficient,84%,79%,80%,Approaching Target,2.95,Proficient,78%,80%,81%,Meeting Target,3.71,Developing,82%,70%,73%,Not Meeting Target,0.10,0.26,0.33,1.00,93.2%,4.26,Approaching Target,2.46,73%,83%,83%,Approaching Target,2.93,88%,90%,87%,Meeting Target,3.46,83%,87%,86%,94%,45%,26%,KELLY JOHNSON,March 2018
31R028,The Eagle Academy for Young Men of Staten Island,Meeting Target,3.06,Proficient,Developing,Proficient,79%,79%,81%,Exceeding Target,4.12,Proficient,86%,80%,84%,Meeting Target,3.32,Proficient,72%,70%,71%,Exceeding Target,0.46,1.00,0.76,4.47,56.9%,2.04,Meeting Target,3.72,91%,83%,87%,Meeting Target,3.57,91%,90%,87%,Meeting Target,3.89,90%,87%,88%,91%,90%,54%,Jermaine Cameron,February 2017
31R047,CSI High School for International Studies,Exceeding Target,4.83,Well Developed,Well Developed,Well Developed,88%,79%,81%,Exceeding Target,4.60,Well Developed,91%,80%,84%,Exceeding Target,4.18,Well Developed,80%,72%,71%,Meeting Target,0.16,0.47,0.44,3.25,85.7%,3.64,Exceeding Target,4.22,94%,84%,87%,Meeting Target,3.85,88%,87%,87%,Meeting Target,3.79,91%,87%,88%,98%,83%,77%,Joseph Canale,"April 21, 2015"
31R064,Gaynor McCown Expeditionary Learning School,Meeting Target,3.87,Well Developed,Proficient,Proficient,81%,79%,81%,Exceeding Target,4.31,Well Developed,84%,80%,84%,Meeting Target,3.60,Well Developed,70%,72%,71%,Approaching Target,0.26,0.79,0.46,2.50,75.3%,2.93,Exceeding Target,4.50,88%,84%,87%,Meeting Target,3.90,89%,87%,87%,Meeting Target,3.55,89%,87%,88%,98%,78%,57%,TRACI FREY,May 2018
31R080,The Michael J. Petrides School,Exceeding Target,4.72,Well Developed,Well Developed,Well Developed,84%,79%,81%,Exceeding Target,4.65,Well Developed,89%,78%,84%,Meeting Target,3.79,Well Developed,69%,68%,71%,Approaching Target,0.26,0.81,0.36,2.42,73.5%,2.64,Exceeding Target,4.10,91%,82%,87%,Meeting Target,3.91,93%,92%,87%,Exceeding Target,4.04,91%,86%,88%,85%,67%,41%,Joanne Buckheit,24-May-16
31R440,New Dorp High School,Exceeding Target,4.22,Well Developed,Proficient,Well Developed,80%,79%,81%,Meeting Target,3.94,Well Developed,85%,80%,84%,Meeting Target,3.87,Well Developed,66%,72%,71%,Approaching Target,0.24,0.71,0.60,2.58,82.5%,4.47,Exceeding Target,4.63,92%,84%,87%,Meeting Target,3.82,88%,87%,87%,Meeting Target,3.57,89%,87%,88%,87%,100%,33%,DEIRDRE DEANGELIS DALES,May 2018
31R445,Port Richmond High School,Approaching Target,2.84,Proficient,Developing,Developing,83%,79%,81%,Meeting Target,3.30,Developing,87%,80%,84%,Meeting Target,3.23,Proficient,69%,72%,71%,Approaching Target,0.27,0.81,0.68,2.17,59.8%,3.27,Meeting Target,3.06,90%,84%,87%,Meeting Target,3.75,89%,87%,87%,Meeting Target,3.85,91%,87%,88%,75%,96%,26%,ONEATHA SWINTON,April 2018
31R450,Curtis High School,Meeting Target,3.07,Proficient,Developing,Proficient,77%,79%,81%,Meeting Target,3.28,Proficient,77%,80%,84%,Meeting Target,3.53,Well Developed,66%,72%,71%,Exceeding Target,0.19,0.58,0.86,4.17,64.0%,3.60,Meeting Target,3.71,81%,84%,87%,Approaching Target,2.95,83%,87%,87%,Meeting Target,3.40,87%,87%,88%,68%,96%,16%,Gregory Jaenicke,March 2018
31R455,Tottenville High School,Meeting Target,3.37,Proficient,Proficient,Proficient,75%,79%,81%,Meeting Target,3.08,Proficient,72%,80%,84%,Meeting Target,3.20,Well Developed,68%,72%,71%,Meeting Target,0.22,0.65,0.57,3.13,75.6%,2.54,Meeting Target,3.47,75%,84%,87%,Meeting Target,3.43,85%,87%,87%,Approaching Target,2.79,80%,87%,88%,85%,95%,37%,Joseph Scarmato,March 2018
31R460,Susan E. Wagner High School,Meeting Target,3.40,Proficient,Proficient,Proficient,77%,79%,81%,Meeting Target,3.24,Proficient,76%,80%,84%,Meeting Target,3.67,Well Developed,69%,72%,71%,Approaching Target,0.21,0.64,0.58,2.00,76.5%,3.33,Meeting Target,3.39,73%,84%,87%,Meeting Target,3.02,83%,87%,87%,Approaching Target,2.84,81%,87%,88%,86%,90%,42%,David Cugini,April 2018
31R600,Ralph R. McKee Career and Technical Education High,Approaching Target,2.83,Proficient,Developing,Developing,83%,79%,81%,Meeting Target,3.64,Proficient,86%,80%,84%,Meeting Target,3.03,Proficient,68%,72%,71%,Not Meeting Target,0.32,0.99,0.49,1.72,55.5%,2.06,Meeting Target,3.63,89%,84%,87%,Meeting Target,3.27,85%,87%,87%,Meeting Target,3.52,88%,87%,88%,79%,83%,27%,SHARON HENRY,February 2017
