DBN,School Name,School Type,Student Achievement - Section Rating,Student Achievement - Section Score,Metric Rating - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,N count - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Black or Hispanic Males in Lowest Third Citywide,"Metric Rating - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","N count - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Percent of Enrollment - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Population Percent of Range - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Value - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Approaching Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Meeting Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Exceeding Target For 2019 - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS","Metric Score - 4-Year Graduation Rate - Self-Contained, Integrated Co-Teaching, or SETSS",Metric Rating - 4-Year Graduation Rate - English Language Learners,N count - 4-Year Graduation Rate - English Language Learners,Percent of Enrollment - 4-Year Graduation Rate - English Language Learners,Population Percent of Range - 4-Year Graduation Rate - English Language Learners,Metric Value - 4-Year Graduation Rate - English Language Learners,Approaching Target For 2019 - 4-Year Graduation Rate - English Language Learners,Meeting Target For 2019 - 4-Year Graduation Rate - English Language Learners,Exceeding Target For 2019 - 4-Year Graduation Rate - English Language Learners,Metric Score - 4-Year Graduation Rate - English Language Learners,Metric Rating - 4-Year Graduation Rate - Lowest Third Citywide,N count - 4-Year Graduation Rate - Lowest Third Citywide,Percent of Enrollment - 4-Year Graduation Rate - Lowest Third Citywide,Population Percent of Range - 4-Year Graduation Rate - Lowest Third Citywide,Metric Value - 4-Year Graduation Rate - Lowest Third Citywide,Approaching Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Meeting Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Exceeding Target For 2019 - 4-Year Graduation Rate - Lowest Third Citywide,Metric Score - 4-Year Graduation Rate - Lowest Third Citywide,"Metric Rating - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","N count - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Percent of Enrollment - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Population Percent of Range - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Value - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Approaching Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Meeting Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Exceeding Target For 2019 - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Score - Postsecondary Enrollment Rate - 6 Months, Lowest Third Citywide","Metric Rating - College and Career Preparatory Course Index, Lowest Third Citywide","N count - College and Career Preparatory Course Index, Lowest Third Citywide","Percent of Enrollment - College and Career Preparatory Course Index, Lowest Third Citywide","Population Percent of Range - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Value - College and Career Preparatory Course Index, Lowest Third Citywide","Approaching Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Meeting Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Exceeding Target For 2019 - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Score - College and Career Preparatory Course Index, Lowest Third Citywide","Metric Rating - 4-Year College Readiness Index, Lowest Third Citywide","N count - 4-Year College Readiness Index, Lowest Third Citywide","Percent of Enrollment - 4-Year College Readiness Index, Lowest Third Citywide","Population Percent of Range - 4-Year College Readiness Index, Lowest Third Citywide","Metric Value - 4-Year College Readiness Index, Lowest Third Citywide","Approaching Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Meeting Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Exceeding Target For 2019 - 4-Year College Readiness Index, Lowest Third Citywide","Metric Score - 4-Year College Readiness Index, Lowest Third Citywide",Metric Rating - College Persistence,N count - College Persistence,Metric Value - College Persistence,Approaching Target For 2019 - College Persistence,Meeting Target For 2019 - College Persistence,Exceeding Target For 2019 - College Persistence,Metric Score - College Persistence
26Q415,Benjamin N. Cardozo High School,High School,Meeting Target,3.44,,58,6.2%,14.0%,67.2%,44.6%,62.0%,75.3%,.,Approaching Target,97,10.3%,26.1%,71.1%,63.1%,75.9%,85.8%,2.63,,87,9.2%,15.4%,80.5%,61.4%,77.2%,85.9%,.,,157,16.6%,22.1%,71.3%,55.7%,71.1%,80.0%,.,,134,15.0%,20.1%,44.0%,32.5%,43.5%,54.0%,.,,157,16.6%,22.1%,22.3%,7.0%,24.7%,42.0%,.,,157,16.6%,22.1%,31.8%,14.2%,27.7%,36.3%,.,Exceeding Target,867,77.4%,61.7%,69.7%,76.5%,4.08
26Q430,Francis Lewis High School,High School,Meeting Target,3.63,,36,3.2%,7.2%,58.3%,42.5%,59.9%,73.2%,.,Approaching Target,154,13.9%,35.3%,73.4%,60.5%,74.3%,84.8%,2.93,Approaching Target,172,15.5%,26.0%,76.2%,60.7%,76.7%,85.7%,2.97,,132,11.9%,15.9%,58.3%,51.3%,66.7%,75.6%,.,,180,15.2%,20.3%,43.9%,29.4%,40.4%,50.9%,.,,132,11.9%,15.9%,37.5%,5.8%,20.3%,34.4%,.,,132,11.9%,15.9%,31.8%,11.2%,22.6%,29.8%,.,Exceeding Target,1017,80.2%,63.3%,71.3%,78.1%,4.18
26Q435,Martin Van Buren High School,High School,Approaching Target,2.72,Approaching Target,52,18.1%,40.9%,57.7%,41.5%,58.9%,72.2%,2.93,Meeting Target,29,10.1%,25.6%,62.1%,47.2%,62.0%,73.4%,3.01,,41,14.3%,24.0%,65.9%,50.1%,67.7%,77.5%,.,Approaching Target,102,35.5%,47.3%,56.9%,50.8%,66.2%,75.1%,2.40,Meeting Target,106,38.4%,51.3%,38.7%,26.3%,37.3%,47.8%,3.13,Meeting Target,102,35.5%,47.3%,21.6%,5.1%,17.9%,30.4%,3.30,Meeting Target,102,35.5%,47.3%,24.5%,12.1%,24.5%,32.3%,3.00,Approaching Target,331,40.5%,39.3%,47.3%,54.1%,2.15
26Q495,Bayside High School,High School,Exceeding Target,4.31,,36,5.1%,11.5%,86.1%,41.6%,59.0%,72.3%,.,Exceeding Target,131,18.5%,47.0%,96.2%,61.3%,74.8%,85.1%,4.74,,82,11.5%,19.3%,92.7%,60.6%,76.7%,85.6%,.,,111,15.6%,20.8%,91.9%,53.6%,69.0%,77.9%,.,,104,11.5%,15.4%,61.5%,35.3%,46.3%,56.8%,.,,111,15.6%,20.8%,86.5%,5.8%,20.3%,34.6%,.,,111,15.6%,20.8%,49.5%,11.3%,22.9%,30.2%,.,Exceeding Target,836,77.5%,61.4%,69.4%,76.2%,4.11
26Q566,"Queens High School of Teaching, Liberal Arts and t",High School,Meeting Target,3.26,,29,10.7%,24.2%,93.1%,50.2%,67.6%,80.9%,.,Meeting Target,60,22.1%,56.1%,80.0%,63.2%,76.0%,85.8%,3.41,,10,3.7%,6.2%,70.0%,60.1%,76.4%,85.4%,.,Exceeding Target,71,26.2%,34.9%,83.1%,60.1%,74.5%,82.9%,4.01,Meeting Target,54,22.0%,29.4%,64.8%,44.2%,55.2%,65.7%,3.91,Approaching Target,71,26.2%,34.9%,17.6%,6.4%,22.3%,37.9%,2.70,Approaching Target,71,26.2%,34.9%,16.9%,12.5%,25.3%,33.5%,2.34,Meeting Target,271,67.5%,55.0%,63.0%,69.8%,3.66
27Q260,Frederick Douglass Academy VI High School,High School,Approaching Target,2.04,Approaching Target,32,34.8%,78.6%,25.0%,23.2%,40.6%,53.9%,2.10,Not Meeting Target,22,23.9%,60.7%,31.8%,39.3%,54.1%,65.5%,1.57,Not Meeting Target,23,25.0%,41.9%,17.4%,33.7%,51.3%,61.1%,1.00,Not Meeting Target,54,58.7%,78.3%,27.8%,32.8%,48.2%,57.1%,1.72,Not Meeting Target,73,64.0%,85.6%,12.3%,17.9%,27.5%,36.6%,1.69,Approaching Target,54,58.7%,78.3%,7.4%,5.0%,10.0%,15.0%,2.48,Not Meeting Target,54,58.7%,78.3%,0.0%,5.6%,11.2%,14.8%,1.00,Meeting Target,93,29.0%,19.9%,27.9%,34.7%,3.16
27Q262,Channel View School for Research,High School,Meeting Target,3.98,,8,6.7%,15.1%,75.0%,53.3%,69.8%,82.4%,.,Approaching Target,14,11.7%,29.7%,71.4%,60.5%,74.2%,84.8%,2.80,,4,3.3%,5.5%,N<10,59.5%,76.0%,85.2%,.,Exceeding Target,24,20.0%,26.7%,87.5%,61.0%,75.1%,83.2%,4.26,Exceeding Target,33,25.8%,34.5%,69.7%,41.3%,52.3%,62.8%,4.40,Meeting Target,24,20.0%,26.7%,31.3%,6.8%,24.0%,40.8%,3.43,Approaching Target,24,20.0%,26.7%,29.2%,21.7%,35.2%,43.8%,2.56,Approaching Target,112,58.0%,51.8%,59.8%,66.6%,2.78
27Q302,"Queens High School for Information, Research, and",High School,Exceeding Target,4.07,Meeting Target,43,32.8%,74.0%,62.8%,32.3%,49.7%,63.0%,3.98,Exceeding Target,23,17.6%,44.7%,73.9%,40.7%,55.5%,66.9%,4.43,Meeting Target,44,33.6%,56.3%,68.2%,46.3%,63.9%,73.7%,3.44,Meeting Target,66,50.4%,67.2%,65.2%,42.0%,57.4%,66.3%,3.88,Exceeding Target,47,50.0%,66.8%,40.4%,16.5%,25.4%,33.9%,4.47,Meeting Target,66,50.4%,67.2%,16.7%,5.0%,12.4%,21.2%,3.49,Exceeding Target,66,50.4%,67.2%,34.8%,10.4%,21.1%,27.8%,4.48,Exceeding Target,102,42.8%,27.3%,35.3%,42.1%,4.06
27Q308,Robert H. Goddard High School of Communication Art,High School,Exceeding Target,4.32,,11,7.0%,15.8%,72.7%,51.2%,68.4%,81.6%,.,Meeting Target,27,17.1%,43.4%,85.2%,62.4%,75.5%,85.6%,3.96,,12,7.6%,12.7%,100.0%,60.3%,76.5%,85.5%,.,Exceeding Target,52,32.9%,43.9%,84.6%,59.5%,74.1%,82.6%,4.11,,24,16.1%,21.5%,58.3%,44.4%,55.4%,65.9%,.,Exceeding Target,52,32.9%,43.9%,55.8%,6.8%,23.9%,40.7%,4.51,Meeting Target,52,32.9%,43.9%,34.6%,13.4%,26.9%,35.5%,3.90,Meeting Target,137,69.8%,56.1%,64.1%,70.9%,3.84
27Q309,Academy of Medical Technology: A College Board Sch,High School,Approaching Target,2.38,Not Meeting Target,26,22.8%,51.5%,38.5%,41.7%,59.1%,72.4%,1.77,Approaching Target,16,14.0%,35.5%,56.3%,56.2%,71.0%,82.4%,2.01,Approaching Target,17,14.9%,25.0%,52.9%,47.4%,65.0%,74.8%,2.31,Approaching Target,57,50.0%,66.7%,50.9%,49.9%,65.3%,74.2%,2.06,Exceeding Target,47,46.1%,61.6%,57.4%,34.7%,45.7%,56.2%,4.07,Approaching Target,57,50.0%,66.7%,10.5%,5.0%,15.0%,25.4%,2.55,Approaching Target,57,50.0%,66.7%,15.8%,12.9%,26.0%,34.4%,2.22,Exceeding Target,92,53.9%,37.0%,45.0%,51.8%,4.18
27Q314,Epic High School - South,High School,Approaching Target,2.84,Approaching Target,17,19.3%,43.6%,52.9%,40.2%,57.6%,70.9%,2.73,Meeting Target,20,22.7%,57.6%,70.0%,51.7%,66.5%,77.9%,3.31,,4,4.5%,7.5%,N<10,49.8%,67.4%,77.2%,.,Approaching Target,37,42.0%,56.0%,62.2%,50.0%,65.4%,74.3%,2.79,Approaching Target,30,42.3%,56.6%,30.0%,20.7%,31.7%,42.2%,2.85,Not Meeting Target,37,42.0%,56.0%,0.0%,5.0%,14.2%,24.2%,1.00,Not Meeting Target,37,42.0%,56.0%,8.1%,9.7%,19.6%,25.8%,1.84,,.,N<15,.,.,.,.
27Q323,Scholars' Academy,High School,Exceeding Target,4.74,,2,1.3%,2.9%,N<5,48.7%,66.1%,79.4%,.,Exceeding Target,19,12.1%,30.7%,100.0%,62.9%,75.8%,85.7%,4.99,,1,0.6%,1.0%,N<10,55.5%,73.1%,82.9%,.,,9,5.7%,7.6%,100.0%,54.0%,69.4%,78.3%,.,,1,0.7%,0.9%,N<5,25.7%,36.7%,47.2%,.,,9,5.7%,7.6%,100.0%,5.7%,19.9%,33.8%,.,,9,5.7%,7.6%,33.3%,5.5%,11.0%,14.6%,.,Exceeding Target,121,95.9%,74.4%,82.0%,88.6%,4.64
27Q324,Rockaway Park High School for Environmental Sustai,High School,Approaching Target,2.48,Approaching Target,23,24.2%,54.6%,43.5%,37.6%,55.0%,68.3%,2.34,Approaching Target,26,27.4%,69.5%,50.0%,44.8%,59.6%,71.0%,2.35,,8,8.4%,14.1%,N<10,43.4%,61.0%,70.8%,.,Approaching Target,41,43.2%,57.6%,48.8%,45.0%,60.4%,69.3%,2.25,Approaching Target,42,47.2%,63.1%,19.0%,18.1%,27.9%,37.2%,2.09,Not Meeting Target,41,43.2%,57.6%,4.9%,5.0%,10.0%,15.0%,1.98,Meeting Target,41,43.2%,57.6%,14.6%,6.9%,14.0%,18.5%,3.13,Meeting Target,68,39.7%,28.7%,36.7%,43.5%,3.44
27Q334,Epic High School - North,High School,Approaching Target,2.86,Exceeding Target,11,12.5%,28.2%,90.9%,40.8%,58.2%,71.5%,4.99,Exceeding Target,14,15.9%,40.4%,85.7%,56.7%,71.5%,82.9%,4.17,,11,12.5%,20.9%,72.7%,46.2%,63.8%,73.6%,.,Meeting Target,28,31.8%,42.4%,67.9%,48.0%,63.4%,72.3%,3.51,Meeting Target,33,32.7%,43.7%,51.5%,30.3%,41.3%,51.8%,3.97,Approaching Target,28,31.8%,42.4%,14.3%,5.0%,16.0%,27.2%,2.85,Not Meeting Target,28,31.8%,42.4%,7.1%,10.9%,22.1%,29.1%,1.65,,3,N<15,.,.,.,.
27Q351,Rockaway Collegiate High School,High School,Approaching Target,2.59,Approaching Target,25,30.9%,69.8%,48.0%,32.5%,49.9%,63.2%,2.89,Not Meeting Target,24,29.6%,75.1%,41.7%,43.3%,58.1%,69.5%,1.91,,7,8.6%,14.4%,N<10,41.2%,58.8%,68.6%,.,Approaching Target,44,54.3%,72.4%,45.5%,41.7%,57.1%,66.0%,2.25,Not Meeting Target,43,46.2%,61.8%,23.3%,24.8%,35.8%,46.3%,1.93,Approaching Target,44,54.3%,72.4%,9.1%,5.0%,10.0%,15.0%,2.82,Approaching Target,44,54.3%,72.4%,6.8%,6.8%,13.8%,18.2%,2.00,Approaching Target,71,32.4%,29.8%,37.8%,44.6%,2.33
27Q400,August Martin High School,High School,Meeting Target,3.97,Exceeding Target,20,35.7%,80.6%,70.0%,36.0%,53.4%,66.7%,4.18,Exceeding Target,14,25.0%,63.5%,78.6%,37.6%,52.4%,63.8%,4.90,,5,8.9%,14.9%,N<10,40.5%,58.1%,67.9%,.,Exceeding Target,34,60.7%,80.9%,76.5%,45.0%,60.4%,69.3%,4.39,Not Meeting Target,58,59.2%,79.1%,13.8%,19.7%,30.2%,40.3%,1.70,Approaching Target,34,60.7%,80.9%,7.4%,5.0%,10.0%,16.8%,2.48,Exceeding Target,34,60.7%,80.9%,26.5%,7.1%,14.3%,18.9%,4.77,Approaching Target,126,31.0%,24.9%,32.9%,39.7%,2.76
27Q475,Richmond Hill High School,High School,Approaching Target,2.95,Approaching Target,83,17.8%,40.2%,39.8%,29.2%,46.6%,59.9%,2.61,Meeting Target,69,14.8%,37.6%,62.3%,43.5%,58.3%,69.7%,3.35,Approaching Target,157,33.6%,56.3%,53.5%,41.6%,59.2%,69.0%,2.68,Approaching Target,217,46.5%,62.0%,44.2%,36.6%,52.0%,60.9%,2.49,Meeting Target,238,45.1%,60.3%,37.0%,20.9%,31.9%,42.4%,3.49,Exceeding Target,217,46.5%,62.0%,23.0%,5.0%,13.2%,22.4%,4.04,Approaching Target,217,46.5%,62.0%,16.6%,8.4%,17.0%,22.4%,2.95,Meeting Target,506,46.1%,32.5%,40.5%,47.3%,3.82
27Q480,John Adams High School,High School,Meeting Target,3.91,Meeting Target,90,16.2%,36.6%,67.8%,37.3%,54.7%,68.0%,3.98,Meeting Target,72,13.0%,33.0%,66.7%,46.0%,60.8%,72.2%,3.52,Exceeding Target,114,20.6%,34.5%,73.7%,39.9%,57.5%,67.3%,4.41,Meeting Target,207,37.4%,49.9%,63.8%,42.6%,58.0%,66.9%,3.65,Approaching Target,221,41.5%,55.5%,29.9%,22.2%,33.2%,43.7%,2.70,Meeting Target,207,37.4%,49.9%,22.2%,5.0%,15.4%,26.2%,3.63,Exceeding Target,207,37.4%,49.9%,30.0%,10.6%,21.4%,28.2%,4.12,Meeting Target,595,38.3%,29.3%,37.3%,44.1%,3.15
27Q650,"High School for Construction Trades, Engineering a",High School,Exceeding Target,4.45,,12,5.1%,11.5%,83.3%,53.4%,69.9%,82.5%,.,Exceeding Target,33,13.9%,35.3%,97.0%,65.9%,77.8%,86.9%,4.77,,5,2.1%,3.5%,N<10,66.2%,80.0%,87.6%,.,,25,10.5%,14.0%,92.0%,62.2%,75.9%,83.8%,.,,19,7.5%,10.0%,52.6%,48.6%,59.6%,70.1%,.,,25,10.5%,14.0%,68.0%,9.2%,27.3%,45.1%,.,,25,10.5%,14.0%,32.0%,16.0%,29.5%,38.1%,.,Meeting Target,231,79.2%,65.5%,73.5%,80.3%,3.84
28Q157,J.H.S. 157 Stephen A. Halsey,High School,Meeting Target,3.66,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<10,.,.,.,.,,.,0.0%,0.0%,N<10,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,N<15,.,.,.,.
28Q167,Metropolitan Expeditionary Learning School,High School,Exceeding Target,4.30,Exceeding Target,13,12.0%,27.1%,84.6%,49.2%,66.6%,79.9%,4.25,Exceeding Target,20,18.5%,47.0%,85.0%,60.7%,74.4%,84.9%,4.01,,.,0.0%,0.0%,N<10,58.4%,75.4%,84.8%,.,Exceeding Target,29,26.9%,35.9%,86.2%,58.8%,73.7%,82.3%,4.22,Exceeding Target,30,27.3%,36.5%,70.0%,40.6%,51.6%,62.1%,4.46,Approaching Target,29,26.9%,35.9%,10.3%,6.9%,24.2%,41.2%,2.20,Exceeding Target,29,26.9%,35.9%,37.9%,12.1%,24.4%,32.1%,4.34,Exceeding Target,100,77.0%,61.5%,69.5%,76.3%,4.06
28Q284,York Early College Academy,High School,Exceeding Target,4.42,,2,2.3%,5.2%,N<5,50.6%,68.0%,81.3%,.,,7,8.0%,20.3%,N<10,68.7%,79.6%,88.0%,.,,1,1.1%,1.8%,N<10,58.7%,75.6%,84.9%,.,,6,6.8%,9.1%,100.0%,59.8%,74.4%,82.7%,.,,11,13.1%,17.5%,81.8%,45.0%,56.0%,66.5%,.,,6,6.8%,9.1%,100.0%,6.6%,23.3%,39.5%,.,,6,6.8%,9.1%,33.3%,17.0%,30.5%,39.1%,.,Exceeding Target,81,85.2%,66.4%,74.4%,81.2%,4.34
28Q310,Queens Collegiate: A College Board School,High School,Meeting Target,3.03,,11,10.1%,22.8%,63.6%,44.1%,61.5%,74.8%,.,Exceeding Target,19,17.4%,44.2%,84.2%,58.5%,73.0%,84.1%,4.01,Approaching Target,29,26.6%,44.6%,62.1%,52.1%,69.7%,79.5%,2.57,Approaching Target,36,33.0%,44.0%,66.7%,53.6%,69.0%,77.9%,2.85,Meeting Target,25,22.3%,29.8%,52.0%,36.5%,47.5%,58.0%,3.43,Approaching Target,36,33.0%,44.0%,13.9%,5.0%,16.5%,28.0%,2.77,Approaching Target,36,33.0%,44.0%,16.7%,11.7%,23.6%,31.1%,2.42,Approaching Target,101,48.5%,46.2%,54.2%,61.0%,2.29
28Q325,Hillside Arts & Letters Academy,High School,Exceeding Target,4.37,Exceeding Target,19,17.1%,38.6%,89.5%,40.1%,57.5%,70.8%,4.99,Exceeding Target,18,16.2%,41.1%,88.9%,49.0%,63.8%,75.2%,4.84,Exceeding Target,22,19.8%,33.2%,95.5%,46.4%,64.0%,73.8%,4.99,Exceeding Target,42,37.8%,50.4%,90.5%,49.4%,64.8%,73.7%,4.92,Meeting Target,34,30.4%,40.6%,50.0%,30.7%,41.7%,52.2%,3.79,Exceeding Target,42,37.8%,50.4%,92.9%,5.0%,14.8%,25.2%,4.99,Meeting Target,42,37.8%,50.4%,26.2%,10.5%,21.3%,28.1%,3.72,Meeting Target,102,49.0%,38.3%,46.3%,53.1%,3.40
28Q328,High School for Community Leadership,High School,Exceeding Target,4.69,Exceeding Target,16,13.9%,31.4%,75.0%,37.4%,54.8%,68.1%,4.37,Meeting Target,13,11.3%,28.7%,84.6%,61.3%,74.8%,85.1%,3.95,Exceeding Target,23,20.0%,33.5%,82.6%,42.4%,60.0%,69.8%,4.82,Exceeding Target,30,26.1%,34.8%,76.7%,46.1%,61.5%,70.4%,4.34,Exceeding Target,41,34.2%,45.7%,53.7%,23.1%,34.1%,44.6%,4.53,Exceeding Target,30,26.1%,34.8%,60.0%,5.0%,16.2%,27.5%,4.99,Exceeding Target,30,26.1%,34.8%,50.0%,10.5%,21.2%,27.9%,4.99,Exceeding Target,96,70.9%,34.6%,42.6%,49.4%,4.99
28Q350,Jamaica Gateway to the Sciences,High School,Meeting Target,3.72,,9,7.1%,16.0%,44.4%,36.0%,53.4%,66.7%,.,Exceeding Target,13,10.3%,26.1%,84.6%,57.7%,72.4%,83.7%,4.06,,17,13.5%,22.6%,70.6%,50.3%,67.9%,77.7%,.,Meeting Target,25,19.8%,26.4%,64.0%,44.1%,59.5%,68.4%,3.51,Meeting Target,42,32.3%,43.2%,45.2%,30.0%,41.0%,51.5%,3.40,Exceeding Target,25,19.8%,26.4%,36.0%,5.0%,15.4%,26.2%,4.51,Exceeding Target,25,19.8%,26.4%,28.0%,10.4%,21.0%,27.7%,4.02,Exceeding Target,145,65.5%,49.8%,57.8%,64.6%,4.08
28Q440,Forest Hills High School,High School,Meeting Target,3.22,,66,6.5%,14.7%,43.9%,41.2%,58.6%,71.9%,.,Approaching Target,142,14.0%,35.5%,64.8%,59.1%,73.3%,84.3%,2.40,,141,13.9%,23.3%,71.6%,56.3%,73.9%,83.7%,.,Approaching Target,192,18.9%,25.2%,58.3%,51.1%,66.5%,75.4%,2.47,,181,17.3%,23.1%,43.6%,31.6%,42.6%,53.1%,.,Approaching Target,192,18.9%,25.2%,15.1%,5.0%,17.2%,29.2%,2.83,Meeting Target,192,18.9%,25.2%,27.1%,10.4%,21.1%,27.8%,3.90,Meeting Target,910,69.9%,59.5%,67.5%,74.3%,3.35
28Q505,Hillcrest High School,High School,Meeting Target,3.08,Approaching Target,102,12.7%,28.7%,42.2%,36.7%,54.1%,67.4%,2.32,Approaching Target,85,10.6%,26.9%,56.5%,49.2%,64.0%,75.4%,2.49,Approaching Target,187,23.3%,39.0%,56.7%,47.3%,64.9%,74.7%,2.53,Approaching Target,274,34.1%,45.5%,54.0%,44.9%,60.3%,69.2%,2.59,Meeting Target,322,38.4%,51.3%,34.8%,22.5%,33.5%,44.0%,3.12,Exceeding Target,274,34.1%,45.5%,37.4%,5.0%,15.8%,26.9%,4.53,Meeting Target,274,34.1%,45.5%,28.8%,11.5%,23.2%,30.6%,3.76,Meeting Target,848,50.6%,40.8%,48.8%,55.6%,3.26
28Q620,Thomas A. Edison Career and Technical Education Hi,High School,Meeting Target,3.81,,37,7.2%,16.3%,48.6%,46.3%,63.7%,77.0%,.,Not Meeting Target,60,11.6%,29.4%,56.7%,58.2%,72.7%,83.9%,1.91,,23,4.4%,7.4%,73.9%,58.6%,75.5%,84.9%,.,,78,15.1%,20.1%,62.8%,54.7%,70.1%,79.0%,.,,44,9.0%,12.0%,40.9%,27.6%,38.6%,49.1%,.,,78,15.1%,20.1%,44.9%,6.0%,20.9%,35.6%,.,,78,15.1%,20.1%,39.7%,12.0%,24.3%,32.0%,.,Approaching Target,499,62.9%,62.5%,70.5%,77.3%,2.05
28Q680,Queens Gateway to Health Sciences Secondary School,High School,Meeting Target,3.94,,4,4.2%,9.5%,N<5,.,.,.,.,Not Meeting Target,10,10.4%,26.4%,60.0%,65.4%,77.5%,86.7%,1.62,,.,0.0%,0.0%,N<10,62.8%,78.0%,86.4%,.,,6,6.3%,8.4%,66.7%,58.4%,73.5%,82.1%,.,,10,10.0%,13.4%,50.0%,25.9%,36.9%,47.4%,.,,6,6.3%,8.4%,16.7%,5.8%,20.3%,34.4%,.,,6,6.3%,8.4%,16.7%,7.6%,15.3%,20.2%,.,Exceeding Target,109,86.2%,70.6%,78.6%,85.4%,4.07
28Q686,Queens Metropolitan High School,High School,Meeting Target,3.50,,15,5.9%,13.3%,80.0%,46.7%,64.1%,77.4%,.,Approaching Target,40,15.7%,39.8%,65.0%,59.9%,73.8%,84.6%,2.37,,10,3.9%,6.5%,90.0%,61.0%,76.9%,85.8%,.,,42,16.5%,22.0%,71.4%,58.9%,73.8%,82.3%,.,,39,14.9%,19.9%,43.6%,41.3%,52.3%,62.8%,.,,42,16.5%,22.0%,35.7%,6.4%,22.5%,38.3%,.,,42,16.5%,22.0%,40.5%,12.8%,25.9%,34.2%,.,Not Meeting Target,233,54.5%,56.5%,64.5%,71.3%,1.81
28Q687,Queens High School for the Sciences at York Colleg,High School,Exceeding Target,4.80,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<10,.,.,.,.,,3,2.7%,4.5%,N<10,68.4%,81.3%,88.5%,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,,.,0.0%,0.0%,N<5,.,.,.,.,Meeting Target,116,89.7%,82.3%,87.6%,92.1%,3.47
28Q690,High School for Law Enforcement and Public Safety,High School,Approaching Target,2.85,Meeting Target,29,26.4%,59.6%,65.5%,38.7%,56.1%,69.4%,3.71,Meeting Target,21,19.1%,48.5%,61.9%,42.9%,57.7%,69.1%,3.37,,5,4.5%,7.5%,N<10,46.3%,63.9%,73.7%,.,Approaching Target,46,41.8%,55.7%,63.0%,48.2%,63.6%,72.5%,2.96,Approaching Target,59,45.0%,60.2%,42.4%,34.1%,45.1%,55.6%,2.75,Not Meeting Target,46,41.8%,55.7%,4.3%,5.0%,13.9%,23.7%,1.86,Approaching Target,46,41.8%,55.7%,21.7%,10.9%,22.0%,29.0%,2.97,Exceeding Target,113,57.5%,42.2%,50.2%,57.0%,4.04
